feature,importance
Glucose_BMI,0.1799362715454085
Glucose,0.14842501265267527
Age_BMI,0.10710875166413679
DiabetesPedigreeFunction,0.08291917069718467
BMI,0.08105629572756394
Age,0.06743688312096922
Risk_Score,0.06608048834812356
BloodPressure,0.05664418919571711
Pregnancies,0.05130802530985257
SkinThickness,0.04711250824658702
Glucose_Category_Encoded,0.04604151624418882
Insulin,0.03274389529209419
Age_Group_Encoded,0.019739603050730227
BMI_Category_Encoded,0.01344738890476831
BP_Category_Encoded,0.0
